0;'(ooo                          '
0;'wooo                          '
0;'Vooo                          '
0;'Zooo                          '
0;'yooo                          '
1000;',  and said: ‘I will be the be'
1000;'nde to the bear and said: ‘I w'
1000;'2  THE THE THE THE THE THE THE'
1000;'lee to the bear and said: ‘I w'
1000;'”  one the forest to the bear '
2000;'?’ ‘What was she was the door '
2000;'Gritt the sat the first that t'
2000;'% e the strange that the first'
2000;', an the first that the first '
2000;'Sh the first that the first sa'
3000;'6.  The fox said: ‘I have not '
3000;'Ane the forest and said: ‘I ha'
3000;'90.  The fox said: ‘I have not'
3000;'UNE FOX AND THE SEVEN SNOTSKIN'
3000;'wantion and said: ‘I have not '
4000;'87 and she was so that the sec'
4000;'zeet to the second works and s'
4000;'Th the second works and said: '
4000;'pees and said: ‘I will go to t'
4000;' teded the second works and sa'
5000;'x ow the work was a little pri'
5000;'1.  The work was a little prin'
5000;'inlee to the work was a little'
5000;'Why there was a little princes'
5000;'4  and the work was a little p'
6000;'VEire to the sparrow was a str'
6000;') ve said, ‘I will not see it '
6000;'Queee the world was a strewn t'
6000;'utd the spindle of the world, '
6000;'6  the work was a strewn to th'
0;'S                             '
0;'s                             '
0;'6                             '
0;'1                             '
0;',                             '
100;'p                             '
100;'?                             '
100;'*                             '
100;'/                             '
100;'H                             '
200;'y                             '
200;'I                             '
200;'‘                             '
200;'F                             '
200;'%                             '
300;'Q                             '
300;'!                             '
300;',                             '
300;'L                             '
300;'”                             '
0;'3CCCCCCCCCCCCCCCCCCCCCCCCCCCCC'
0;'OCCCCCCCCCCCCCCCCCCCCCCCCCCCCC'
0;'0CCCCCCCCCCCCCCCCCCCCCCCCCCCCC'
0;'YCCCCCCCCCCCCCCCCCCCCCCCCCCCCC'
0;'HCCCCCCCCCCCCCCCCCCCCCCCCCCCCC'
100;'‘                             '
100;'I                             '
100;'Q                             '
100;'M                             '
100;'s                             '
200;'n  toe toe toe toe toe toe toe'
200;'“  toe toe toe toe toe toe toe'
200;'2  toe toe toe toe toe toe toe'
200;'L  the toe toe toe toe toe toe'
200;'3  toe toe toe toe toe toe toe'
300;'Wae the the the the the the th'
300;'je the the the the the the the'
300;'Wae the the the the the the th'
300;'qae the the the the the the th'
300;'g  the the the the the the the'
400;'(te the the the the the the th'
400;'9 e the the the the the the th'
400;'?  and the the the the the the'
400;'N e the the the the the the th'
400;'J e the the the the the the th'
500;'pe the the the the the the the'
500;'ine the the the the the the th'
500;'X e the the the the the the th'
500;'X e the the the the the the th'
500;'# e the the the the the the th'
600;'1the the the the the the the t'
600;'‘ther the the the the the the '
600;'M  ind the the the the the the'
600;'0te the the the the the the th'
600;'/te the the the the the the th'
700;'_ e and the was the was the wa'
700;' the was the was the was the w'
700;'I  and the was the was the was'
700;':  and the was the was the was'
700;'Tht the was the was the was th'
0;'txxxxxxxxxxxxxxxxxxxxxxxxxxxxx'
0;'mxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'
0;'7xxxxxxxxxxxxxxxxxxxxxxxxxxxxx'
0;':xxxxxxxxxxxxxxxxxxxxxxxxxxxxx'
0;'Cxxxxxxxxxxxxxxxxxxxxxxxxxxxxx'
100;'N                             '
100;']                             '
100;'P                             '
100;'“                             '
100;'?                             '
200;'l                             '
200;'w                             '
200;'I                             '
200;'q                             '
200;'t                             '
300;'R  th th th th th th th th th '
300;'U  th th th th th th th th th '
300;'   th th th th th th th th th '
300;'c  th th th th th th th th th '
300;'f  th th th th th th th th th '
400;'f  the the the the the the the'
400;'s  the the the the the the the'
400;'”  the the the the the the the'
400;'be the the the the the the the'
400;'/ e the the the the the the th'
500;'qhe the son the son the son th'
500;'Une the son the son the son th'
500;'[ e the son the son the son th'
500;'Ane the son the son the son th'
500;'une the son the son the son th'
